Currency,Exchange Rate (Currency to USD)
USD,1
EUR,1.1704894749
GBP,1.3496459784
INR,0.0115956616
AUD,0.6529630213
CAD,0.7304864787
SGD,0.7811543480
CHF,1.2542243137
MYR,0.2361112549
JPY,0.0067901437
CNY,0.1393927791
NZD,0.5977193534
THB,0.0310319100
HUF,0.0029329464
AED,0.2722940776
HKD,0.1273910691
MXN,0.0536513465
ZAR,0.0565339711
PHP,0.0175340656
SEK,0.1045141501
IDR,0.0000612491
BRL,0.1801235166
SAR,0.2666666667
TRY,0.0247577630
KES,0.0077436495
KRW,0.0007238685
EGP,0.0203050405
IQD,0.0007640527
NOK,0.0984520459
KWD,3.2756410969
RUB,0.0127917291
DKK,0.1568246455
PKR,0.0035100461
ILS,0.2985154963
PLN,0.2758057520
QAR,0.2747252747
XAU,3398.2821790
OMR,2.5975715555
COP,0.0002479227
CLP,0.0010451395
TWD,0.0340364038
ARS,0.0007738271
CZK,0.0475292452
VND,0.0000382185
MAD,0.1107536754
JOD,1.4104372355
BHD,2.6595744681
XOF,0.0017843997
LKR,0.0033170575
UAH,0.0239531123
NGN,0.0006529915
TND,0.3473324152
UGX,0.0002789876
RON,0.2308416611
BDT,0.0082287355
